airline_sentiment,airline_sentiment_confidence,airline,text
negative,0.34,US Airways,"@USAirways Thanks for showing interest...3880 to Greenville, SC."
negative,0.3437,Southwest,@SouthwestAir thank you : 8UXZJ2 Paid for early bird and sat in back
negative,0.3446,US Airways,@USAirways I'll sincerely regret Dividend miles! Good things coming to an end :(
negative,0.3456,United,@united's first-class #cockup http://t.co/oh7CFv7DHR
negative,0.3469,US Airways,@USAirways thank you for reaching out to me. Hopefully my request will be fixed and I can remain a loyal customer.
negative,0.3511,United,@united - #epicfail from a former gate agent in PIA! He walked away and quit! Luckily a responsible PIA agent saved the day!
negative,0.3523,Delta,See what you started now @nytimes RT @JetBlue: Our fleet's on fleek. http://t.co/atd2Sm8HF4
negative,0.3533,United,@united Back at the Denver airport and ready for round two today. Ready to get home!
negative,0.3537,Delta,Made it to #Costa #Rica and back @JetBlue Missing it already! #Pura #Vida!
negative,0.3548,United,@united I know that. Thanks for the standard reply.
negative,0.3587,Southwest,@SouthwestAir my bday was yesterday and my girl gave birth to my first born and I couldn't get a courtesy flight change from Lynn... THANKS!
negative,0.3598,Delta,“@JetBlue: Our fleet's on fleek. http://t.co/vw2v8GVnGq” 😐😑
negative,0.3654,United,"@united yep, after long waiting on the phone we managed to rebook it. Hope it will be a pleasent one. Thanks for ur help."
negative,0.3684,American,@AmericanAir BRING MY FIANCÉ @meerikangas BACK TO ME!
negative,0.3702,American,@AmericanAir and let FLT 2350 know I'm coming / gate crew have yet to arrive to let us off FLT 5350 #DFW
negative,0.3723,Delta,"@JetBlue thanks for response! Crew has been VERY patient with us, but they are also frustrated. Wouldn't be so bad but airport is closed!"
negative,0.3804,Southwest,@SouthwestAir Thnx. Hopefully it's just on the nxt flight up. I've got 3 shows this wknd. Worst case I'll just turn my sweatshirt inside out
negative,0.3898,Delta,“@JetBlue: @benjaminokeefe Thanks for including us on your tour! Did you pack your winter coat?”Unfortunately yes ❄️⛄️ #WereNotinCaliAnymore
negative,0.6123,Southwest,@SouthwestAir flight just Cancelled Flighted. Can you help me rebook?
negative,0.6163,American,"@AmericanAir for tomorrow some sites show flight 1642 from ewr Cancelled Flightled, is it?"
negative,0.6169,American,@AmericanAir My flight tomorrow from SLC to DFW AA304 Cancelled Flighted. Can you help me get there?
negative,0.6192,Delta,@JetBlue Y U NO LET ME OUT AND MAKE FUN SIZE COOKIES #stuckonaplane #sos #babyfood
negative,0.6201,Delta,@JetBlue i am here - what is your resolution?
negative,0.6227,US Airways,@USAirways tell the flight from clt to srq 5080 to wait!!!!!!
negative,0.6232,US Airways,@USAirways I'm logged into a Flight Booking Problems. I need to add API before travelling to the states but I cannot see where to do it
negative,0.6236,United,@united I was on UA3782 and it was Cancelled Flightled. I'm waiting at customer service.
negative,0.6252,Delta,@JetBlue now when I call it's still at the warehouse and might be going out tonight
negative,0.6258,American,"@AmericanAir If SNA curfew causes diversion, do you provide transportation from LAX? On AA1237 now, pilot not sure if we have time."
negative,0.627,Southwest,@SouthwestAir have u seen any of the messages the past hour ?
negative,0.6275,American,@AmericanAir Hopefully you guys are willing to cover my lovely car rental and living charges...I love being here for two extra days..
negative,0.6275,American,"@AmericanAir when do you anticipate decisions for Cancelled Flightlations at DFW tomorrow morning? Need to rearrange hotel reservations, etc. ASAP!"
negative,0.6277,Delta,@JetBlue no news here at the gate. What are my options?
negative,0.6281,United,@united Mobile boarding pass disappeared from phone while standing in line to board. Second time this week... Hmm.
negative,0.6292,US Airways,@USAirways there is a travel advis for nyc and phil PA -winter weather- but U.S. Air hasn't posted one yet. Can I still change flt wo pen?
negative,0.6294,US Airways,@USAirways No flights out of Philly because of system wide tech issue. @CBSPhilly
negative,0.6299,United,"@united @baldordash Rebooked,arrived 8 hours Late Flightr. Last year 9 hrs to San Diego and the no inflight entertainment!"
negative,0.6301,American,"@AmericanAir No, when I call AA now I can't even get on hold...can you help me?"
negative,0.6303,Southwest,@SouthwestAir How do I stop getting credit card apps? I already have a card!
negative,0.6306,Southwest,@SouthwestAir yeah they're somewhere. Hopefully getting them back today. Just frustrated tweeting.
negative,0.6309,US Airways,@USAirways - delayed 1851. Need an extra 5 min to make 1769. Would appreciate a little help again this week.
negative,0.6309,United,@united flying tomorrow from mexico to US. Mileage tkts dont show 1k status. Help
negative,0.6315,US Airways,@USAirways that's the 1st sorry I received from your company. The least you could do is fly us home early at no extra charge.
negative,0.6319,Southwest,@SouthwestAir Southwest is scheduled to fly to Costa Rica on March 7 but I can't book it online. When will this be available?
negative,0.6324,American,@AmericanAir @USAirways So who do I need to talk to to ensure the statement is sent to my bank so I can get the credit for the charges?
negative,0.6326,American,@AmericanAir really appreciate the great customer service... One of your service agents just hung up on me when asking legitimate questions
negative,0.6327,United,@united we needed to be at steamboat for a meeting by 3pm so we took a shuttle. The United customer service people said the bag would be on
negative,0.6331,US Airways,@USAirways no more hotel voucher? Everyone had to get one but not me...what do I do? Arrived from Amsterdam #SnowStorm
negative,0.6333,US Airways,@USAirways I do to as I have an afternoon Conference in Las Vegas and I would rather plan ahead than run thru the airport and then attempt
negative,0.6334,United,@united it was me who had the problem won flight ua 1580. I called and rebooked myself found my own hotel and taxi
negative,0.6336,Southwest,@SouthwestAir I think I'm shot. Can't find a flight that arrives before business (SAN) on thu. Really want to go too.
negative,0.6337,American,"@AmericanAir Thanks - I note some, but not all, flights are Cancelled Flightled - are only some aircraft/runways working out of DFW today/tomorrow?"
negative,0.6337,United,"Wanted to get my bag benefit, but instead get $25 pricing on all three tickets. When adding a card, MP Visa is only option. @united"
negative,0.6339,Delta,@JetBlue it says it is now 9:58 you owe me
negative,0.6344,US Airways,@USAirways I have to spend more than the cost of the flight just to get a free room and transportation to and from the airport
negative,0.635,American,@AmericanAir why is raleigh not on the updated southern states advisory???
negative,0.635,US Airways,@USAirways On hold for going on 40 minutes after spending 10 hours delayed in Denver cause of a broken plane. Thanks guys.
negative,0.6354,United,@united GRK13575M is the file reference
negative,0.6354,United,@united Had to explain to a very over eager flight attendant trying to ask about my vision that my @ccicanine was not a guide dog!
negative,0.636,United,@united I had one interview I was the last person what does that mean?
negative,0.6361,Southwest,@SouthwestAir although I'm not happy you Cancelled Flighted my flight home tomorrow (phx to atl then dca) I am happy on how easy it was to rebook
